UserID,Session,TaskName,Orientation,accelX_mean,accelX_stdev,accelX_differenceBeforeAfter,accelX_netChange,accelX_maxChange,accelX_restorationTime,accelX_normedDuration,accelX_normedDurationMax,accelY_mean,accelY_stdev,accelY_differenceBeforeAfter,accelY_netChange,accelY_maxChange,accelY_restorationTime,accelY_normedDuration,accelY_normedDurationMax,accelZ_mean,accelZ_stdev,accelZ_differenceBeforeAfter,accelZ_netChange,accelZ_maxChange,accelZ_restorationTime,accelZ_normedDuration,accelZ_normedDurationMax,gyroX_mean,gyroX_stdev,gyroX_differenceBeforeAfter,gyroX_netChange,gyroX_maxChange,gyroX_restorationTime,gyroX_normedDuration,gyroX_normedDurationMax,gyroY_mean,gyroY_stdev,gyroY_differenceBeforeAfter,gyroY_netChange,gyroY_maxChange,gyroY_restorationTime,gyroY_normedDuration,gyroY_normedDurationMax,gyroZ_mean,gyroZ_stdev,gyroZ_differenceBeforeAfter,gyroZ_netChange,gyroZ_maxChange,gyroZ_restorationTime,gyroZ_normedDuration,gyroZ_normedDurationMax
990622,990622_session_1,Map+Sitting,0,0.327541965,0.072201174,0.110797135,0.058738414,0.169933899,55691799.73,7327576650,-1777794267,6.583245348,0.052064475,-0.0305261,-0.042707852,0.0736218,55691793.37,-26596076800,-5910536842,6.650316761,0.136470784,-0.102139886,-0.104651276,0.099032964,55691793.25,-7948652861,-2363609205,0.012656095,0.038193657,-0.036796302,-0.015832439,0.08116178,55716399.97,-22063195564,-6280447177,-0.0274072,0.044732391,-0.018042739,-0.040929536,0.029543664,55716399.99,-44995607959,-15436625807,-0.024266837,0.018919699,0.014377547,0.011857512,0.039178676,55716400.04,56466100858,-12712828568
990622,990622_session_1,Map+Sitting,0,0.423505384,0.148782371,-0.314777667,-0.260278618,0.021308428,55798199.32,-2162704256,-1559674761,6.474416714,0.067209638,0.1300651,0.109671024,0.22888561,55798193.64,5234078934,-578877805.8,6.724796541,0.163126733,-0.29532471,-0.247118749,0.09816211,55798193.03,-2305160987,-984932608.4,0.050185739,0.060238805,-0.037293324,0.058860026,0.165361217,55813400.01,-18254084980,-2949667444,0.087601235,0.091502264,-0.090927293,0.101131901,0.232525846,55813400.01,-7486811501,-1848068327,-0.016398572,0.012678434,-0.000335976,0.007486259,0.026939157,55813400.02,-2.03E+12,-9804186767
990622,990622_session_1,Map+Sitting,0,0.714968483,0.109929752,-0.460045868,-0.394504601,-0.108098284,56228998.89,-1954157319,-2005007371,6.594544265,0.109166185,0.01717831,-0.025902355,0.13299808,56228993.38,52333553184,-907198313.4,6.643071748,0.143096176,-0.13952212,-0.094032343,0.33656491,56228993.26,-6443437069,-1684184717,0.045753807,0.032420595,0.025931229,0.06835582,0.142331599,56216600.02,34668121572,-4256193501,0.047582585,0.038608817,-0.093615099,0.040588178,0.134115464,56216599.99,-9603012916,-3432734250,-0.017054594,0.01827236,-0.031703907,-0.026736808,0.021166481,56216599.99,-28355716984,-13483757849
990622,990622_session_1,Map+Sitting,0,1.037581731,0.259827968,0.321122295,0.272574436,0.660739905,52801999.24,2020094868,-250525878.2,5.954847558,0.111419323,-0.22547398,-0.066090852,0.20697859,52801993.98,-2877039293,-1214556315,7.189363247,0.299112982,-0.15191202,-0.044298173,0.56305618,52801992.77,-4270218380,-595012477.5,-0.008007888,0.084940207,0.012095133,0.061875096,0.237260065,52826400.07,53631613730,-2463607437,-0.148956714,0.125658143,0.01881465,-0.155615144,0.0376293,52826399.99,34477467806,-3990135347,-0.048152841,0.027424394,-0.040744712,-0.042746684,0.039614611,52826400.01,-15920630431,-7361722048
990622,990622_session_1,Map+Sitting,0,0.497168925,0.181796239,0.483329453,0.267385412,0.597413147,55588099.77,976055767.1,-2862801760,5.926150746,0.148892115,0.2680308,0.172764296,0.42125995,55588094.25,1760083170,-367658503.6,7.171362068,0.365868702,-0.65613082,-0.512528942,0.02483969,55588092.32,-718997623.1,-461190309.1,0.096962476,0.055261063,0.075747291,0.042045691,0.180571765,55587499.95,6228222728,-823605377.6,-0.088757069,0.114340308,-0.068813974,0.135827538,0.26551258,55587500.22,-6855744155,-215603574.2,-0.033234371,0.028517755,0.129503433,0.052867085,0.10381655,55587500.09,3642922727,2193142651
990622,990622_session_1,Map+Sitting,0,1.462380271,0.244413714,0.282613755,0.113726471,0.4499903,60685725.92,2646562625,-372041374.3,6.638204763,0.097036813,-0.073817624,-0.035991598,0.25641904,60685720.6,-10132471938,-2036512217,6.47480052,0.266946613,-0.235926728,-0.26954589,0.11144989,60685720.53,-3170285138,-1763049002,0.030968004,0.081476594,-0.331633187,-0.156750886,0.05998697,60676908.9,-2255416616,-1768892607,-0.119944346,0.118432196,0.192006053,-0.172478756,0.033903024,60676909.04,3895559481,4381535294,-0.028872928,0.029801854,-0.191953295,-0.164210121,-0.081581053,60676908.96,-3896630172,-6276342587
990622,990622_session_1,Map+Sitting,0,0.399866894,0.110038305,-0.012629422,-0.084779389,0.098341857,55327899.52,-34779065899,-3202423214,5.380369803,0.183625199,0.23301567,-0.068474147,0.28467035,55327894.55,1885021295,-7025791274,7.917519318,0.347098066,-0.34847622,0.059210518,0.5172072,55327892.14,-1260457600,-341139720.6,0.044449431,0.141412503,0.464501941,0.232259953,0.490188822,55328500.19,945612840.8,-2366616640,0.068479789,0.101707347,-0.202471283,0.155741891,0.310838782,55328500.09,-2169389131,-185312945.6,-0.098816437,0.145824657,0.409310259,0.290915591,0.499687768,55328500.39,1073119938,-609487920.9
990622,990622_session_1,Map+Sitting,0,0.643173388,0.156618283,-0.067130148,-0.085681473,0.142634539,60524544.73,-10232436806,-769543253.9,5.820077288,0.093531242,-0.149452531,-0.082587552,0.14987686,60524539.55,-4596141637,-338636976.8,7.295111928,0.272254561,0.074247571,0.085272908,0.66888028,60524538.24,9251548456,-759638669.5,0.028136663,0.09304512,-0.3551043,-0.25985576,-0.104427423,60541181.53,-1934375338,-2440841404,-0.054045776,0.066474137,0.275680708,0.142805548,0.296422358,60541182.01,2491668734,-12606976618,-0.047826536,0.023033171,0.087675822,0.094688326,0.13060299,60541181.96,7834600016,-5334349157
990622,990622_session_1,Map+Sitting,0,0.346505017,0.056506668,0.014006078,-0.039799438,0.053031545,55728399.61,37698990396,-3911522699,5.488150607,0.036989141,-0.06045353,0.006865247,0.08523364,55728394.52,-8734229416,-2095572314,7.515301642,0.134780209,-0.09810238,-0.129803398,0.07679396,55728392.36,-5382285323,-2031580535,0.012274129,0.033299511,-0.03643811,-0.024774847,0.066492684,55740499.96,-14489911616,-4521416585,0.010043762,0.056781614,-0.149875789,-0.090932264,0.043188174,55740499.9,-3522817153,-2306872772,-0.02052081,0.007957246,-0.003756821,-0.004241252,0.010476339,55740500.02,-1.4054E+11,-27474713659
990622,990622_session_1,Map+Sitting,0,0.486368267,0.174114785,0.290296955,0.09060673,0.418267023,55676099.6,1240900029,-430206069.8,4.679444192,0.069672371,0.00736215,0.057677232,0.17022764,55676095.38,48929932153,-1804461461,8.053380827,0.192019605,-0.1294665,-0.042073603,0.23816257,55676091.9,-2782414756,-449176938,0.025249097,0.044232604,-0.030835121,-0.018902886,0.051448427,55694399.96,-11784387158,-3571600972,-0.069514202,0.089189674,-0.072126216,-0.045826205,0.083247357,55694400.02,-5038015548,-1062799782,-0.026425578,0.024992752,0.015607607,-0.011153947,0.01985312,55694400.02,23281788039,-41260268299
